event,file,record,day,utc,counts_total,SWEAP_Start,solar_distance_Rs,peak_channel,peak_measure,peak_residual_r,counts_lag_ms,V2_raw_envelope_r0,V2_residual_envelope_r0,V2_residual_signed_r0,V5_raw_envelope_r0,V5_residual_envelope_r0,V5_residual_signed_r0,V1V2_raw_envelope_r0,V1V2_residual_envelope_r0,V1V2_residual_signed_r0,V3V4_raw_envelope_r0,V3V4_residual_envelope_r0,V3V4_residual_signed_r0
3005,psp_fld_l2_tds_wf_20250316_v00.cdf,6,20250316,2025-03-16T11:38:29.978202000,65,0.6654375791549683,64.64006612045422,V5,signed_mean,0.20068467177060945,0.4666666666666667,-0.11583047902385928,-0.022790172081933874,-0.028319717498609183,0.04945540702382065,-0.0028457297271328452,-0.02326903407726027,-0.1446395375782885,-0.019669822719223694,0.013649842731366525,-0.13032149922763567,-0.0021888116743423655,-0.01955450708449306
3008,psp_fld_l2_tds_wf_20250316_v00.cdf,9,20250316,2025-03-16T11:38:30.056174000,34,0.7434172630310059,64.64006612045422,V5,signed_mean,-0.16691599594912082,-0.8666666666666666,-0.20726955521362372,-0.12842653508519045,-0.010929377871491699,-0.04493999705705934,-0.04951747860119002,0.015936193915433355,-0.21418849590327643,-0.1436733329831283,0.03270550993316487,-0.22032745238057216,-0.13751040279057508,-0.04000253143476563
3009,psp_fld_l2_tds_wf_20250316_v00.cdf,10,20250316,2025-03-16T11:38:30.074683000,244,0.7619307637214661,64.64006612045422,V2,signed_mean,0.263664098032645,-0.8666666666666666,0.06823319040986023,0.07613929123825286,-0.04669157603692362,0.041391254226241334,0.03063326016509134,-0.027778786334420283,0.10659198398896771,0.12118503977793649,0.11930425627984588,0.10264415438559085,0.10959755660128093,-0.17310603777159778
3010,psp_fld_l2_tds_wf_20250316_v00.cdf,11,20250316,2025-03-16T11:38:30.104880000,3633,0.7921307682991028,64.64006612045422,V3V4,envelope,-0.22442516506046012,0.6,-0.10665612797042581,-0.048213770826258356,-0.07786218413405793,-0.11105129092661037,-0.09549252503229635,-0.15406547769232298,-0.08955400213308021,-0.037315477035864936,0.0028485577270954965,-0.10267499886241542,-0.041430876020764625,0.01817315436873708
3011,psp_fld_l2_tds_wf_20250316_v00.cdf,12,20250316,2025-03-16T11:38:30.130087000,4168,0.8173307776451111,64.64006612045422,V2,signed_mean,-0.2506563404170759,0.7333333333333334,0.2228081940329242,0.07332615934400989,-0.14823755271826317,0.010846935436464991,-0.03807071225022945,-0.10819525905455381,0.24678529848772834,0.08804522689384789,0.008977121205277744,0.2563267241431799,0.08268104907047089,-0.024227658625405612
3012,psp_fld_l2_tds_wf_20250316_v00.cdf,13,20250316,2025-03-16T11:38:30.161261000,1716,0.8485042452812195,64.64006612045422,V5,signed_mean,0.2057148433000366,0.8,0.008489454044346487,0.0008620954865136282,-0.15522971751484307,0.07736801884477759,0.09566126395535371,-0.04377595747120086,0.008978252029488203,0.007739724205836924,0.1289326371130441,0.020517906756097527,0.034145310177405505,-0.09514870254188272
3013,psp_fld_l2_tds_wf_20250316_v00.cdf,14,20250316,2025-03-16T11:38:30.180701000,725,0.8679375648498535,64.64006612045422,V5,envelope,0.15818628203080679,0.2,0.017772367411569626,-0.026870168823178175,-0.03966417365369056,0.03965402678517473,0.047696348429912785,0.007391541733286206,0.011357816262396223,-0.02627610368974584,0.025928986308507113,0.0023298000996684652,-0.027522756864424666,-0.026116922502992336
3014,psp_fld_l2_tds_wf_20250316_v00.cdf,15,20250316,2025-03-16T11:38:30.198294000,39,0.011757551692426205,64.64006612045422,V2,envelope,0.30998129654312145,-0.6,0.2314987025694642,0.10406539696971577,-0.0046108506336631425,0.06659490654206376,0.11021894548584908,-0.03055527184903197,0.23944721316877288,0.10758890024591722,0.003626672422161026,0.20788905536067676,0.09984290729253341,-0.006624093959608224
3018,psp_fld_l2_tds_wf_20250316_v00.cdf,19,20250316,2025-03-16T11:38:30.305472000,859,0.11893880367279053,64.63998993819175,V3V4,envelope,-0.16885276831764132,0.6,-0.07227241188423081,-0.06721055642450548,-0.0004550789849613428,0.07142706782248943,0.09007139577421783,0.060591158584937216,-0.07668123489622769,-0.06680211824552883,0.008852329139135338,-0.06705602029992784,-0.06095959705643535,-0.014607213861200334
3019,psp_fld_l2_tds_wf_20250316_v00.cdf,20,20250316,2025-03-16T11:38:30.334204000,4469,0.14766432344913483,64.63998993819175,V3V4,envelope,-0.20561076459802247,-0.8,0.2392120790215379,-0.011433660000153195,-0.01592589540516775,-0.05968842632474055,0.018246479465099004,-0.14337843866429173,0.24277597052062205,-0.022781738613504895,0.02621203188011221,0.24128735118414707,-0.020802811165791163,-0.033104908430663466
3020,psp_fld_l2_tds_wf_20250316_v00.cdf,21,20250316,2025-03-16T11:38:30.562293000,4173,0.375752329826355,64.63998993819175,V2,signed_mean,-0.22918963149265742,-0.6666666666666666,0.16269554057353838,0.07295231432592014,-0.21897357326264055,-0.08677319228896235,-0.16342265881474893,-0.1627942880427262,0.18343197223093188,0.09631293091716164,0.10108489991846065,0.21884735770511912,0.12277700645240014,-0.07175402889413984
3021,psp_fld_l2_tds_wf_20250316_v00.cdf,22,20250316,2025-03-16T11:38:30.582114000,2719,0.39557212591171265,64.63998993819175,V3V4,envelope,0.20828756280382435,-0.26666666666666666,0.10919625443371272,0.060597662663251915,-0.020853146935062884,-0.03740125676224375,-0.0572192122046484,-0.040836145841147475,0.13146090846367084,0.09324538762635351,0.0812732517447993,0.14361654289185216,0.10801964446038763,-0.025932223627037794
3022,psp_fld_l2_tds_wf_20250316_v00.cdf,23,20250316,2025-03-16T12:29:54.199067000,130,0.31879743933677673,64.40638637343683,V1V2,envelope,-0.21936307727823984,-0.9333333333333333,-0.02390349696465581,-0.014910871082789334,0.06383609617855243,-0.11850691764245204,-0.09764276913335143,0.0022853937938571225,-0.04270595751959993,-0.038734473790364564,-0.03554330041745757,0.003081023852548251,-0.01652232783611841,-0.05654423863009409
