event,file,record,utc,day,SC_TWTA_On_Flag,voltage,scm,native_r0,envelope_r0,envelope_peak_r,scm_lag_ms,weighted_coherence_raw,weighted_coherence_outside_lines,masked_cross_spectral_weight_fraction,scm_power_remaining_fraction,peak_coherence_outside_lines,peak_coherence_frequency_hz,longest_coherent_run_hz,flags
3119,psp_fld_l2_tds_wf_20250317_v00.cdf,78,2025-03-17T17:58:23.400750000,20250317,0,V1V2,SCM4,0.20491400649594094,-0.04245531544768594,-0.09293848468674709,-1.0666666666666667,0.799367239440357,0.07988184106015483,0.8115089128096089,0.039640059253945974,0.5738655530265308,850312.5,0.0,persistent-line dominated coherence
3119,psp_fld_l2_tds_wf_20250317_v00.cdf,78,2025-03-17T17:58:23.400750000,20250317,0,V3V4,SCM4,-0.2867704384297476,-0.03289552288009545,0.07177515916035761,0.8,0.828073543318794,0.07508096063973362,0.8369560665218142,0.03976326772275988,0.49222006429040166,201562.5,0.0,persistent-line dominated coherence
3120,psp_fld_l2_tds_wf_20250317_v00.cdf,79,2025-03-17T17:58:29.892008000,20250317,0,V2,SCM4,-0.351574133180375,-0.019848144853893437,0.11763400978495131,-0.7333333333333334,0.945292113166449,0.07794555454544874,0.9540617852131065,0.011504909132012207,0.5428567427973753,708750.0,0.0,persistent-line dominated coherence
3120,psp_fld_l2_tds_wf_20250317_v00.cdf,79,2025-03-17T17:58:29.892008000,20250317,0,V5,SCM4,0.4188891626725817,-0.041677941701822964,0.13391265794365959,-0.6666666666666666,0.9587196288589965,0.06783627874605515,0.963487140417385,0.011522858394608397,0.477642815776447,277031.25,0.0,persistent-line dominated coherence
3120,psp_fld_l2_tds_wf_20250317_v00.cdf,79,2025-03-17T17:58:29.892008000,20250317,0,V1V2,SCM4,0.08330581737279741,0.08002914286708869,0.1474550385536468,0.9333333333333333,0.7150613304505699,0.07665833770806513,0.8619690226137907,0.011504909132012207,0.5765259385945697,850781.25,0.0,persistent-line dominated coherence
3120,psp_fld_l2_tds_wf_20250317_v00.cdf,79,2025-03-17T17:58:29.892008000,20250317,0,V3V4,SCM4,0.2806337037284239,0.03672434821317312,0.1376836163154839,0.9333333333333333,0.8336381587010033,0.075852893710313,0.9009942349090272,0.011552700544754548,0.4980370385083676,682968.75,0.0,persistent-line dominated coherence
3121,psp_fld_l2_tds_wf_20250317_v00.cdf,80,2025-03-17T17:58:30.770152000,20250317,0,V2,SCM4,-0.4290676707088955,0.036461951253138676,-0.18763829876259464,-0.7333333333333334,0.918868647878766,0.0724889382581447,0.927307946133132,0.024144010379079938,0.4769001767937447,817968.75,0.0,persistent-line dominated coherence
3121,psp_fld_l2_tds_wf_20250317_v00.cdf,80,2025-03-17T17:58:30.770152000,20250317,0,V5,SCM4,-0.36147255994117866,-0.13902293612084568,-0.1833548647089273,-0.4666666666666667,0.9421301154803687,0.07213016274237372,0.9492654790475668,0.024172853266087698,0.3989626346593034,391875.0,0.0,persistent-line dominated coherence
3121,psp_fld_l2_tds_wf_20250317_v00.cdf,80,2025-03-17T17:58:30.770152000,20250317,0,V1V2,SCM4,0.20457063811793166,-0.005991450000290028,0.18340863322934275,-0.8,0.7830698859979301,0.07904488961016891,0.7900857116170147,0.024144010379079938,0.666575616475784,850312.5,468.75,no threshold crossed
3121,psp_fld_l2_tds_wf_20250317_v00.cdf,80,2025-03-17T17:58:30.770152000,20250317,0,V3V4,SCM4,-0.1253367455638295,-0.033654355636033945,0.10372079924174842,-0.8,0.8002513830838647,0.07056346161138526,0.8064441996114027,0.024226080631795807,0.4569800300206635,541406.25,0.0,persistent-line dominated coherence
3122,psp_fld_l2_tds_wf_20250317_v00.cdf,81,2025-03-17T17:58:30.858195000,20250317,0,V2,SCM4,-0.3410379261813543,-0.0330401924483583,-0.18287186567331165,0.6,0.9203502914776541,0.0748903752963258,0.9293981827242824,0.02738478525531129,0.6320173108495757,824062.5,468.75,persistent-line dominated coherence
3122,psp_fld_l2_tds_wf_20250317_v00.cdf,81,2025-03-17T17:58:30.858195000,20250317,0,V5,SCM4,-0.5665408284839706,0.09695281510860035,-0.1381528434406431,0.26666666666666666,0.9341403735049949,0.06782970093449497,0.9458478458195848,0.027424127449580043,0.5241372124400192,824062.5,0.0,waveform correlation; persistent-line dominated coherence
3122,psp_fld_l2_tds_wf_20250317_v00.cdf,81,2025-03-17T17:58:30.858195000,20250317,0,V1V2,SCM4,0.239970473166356,-0.09819247871387025,-0.11963075737821534,-0.06666666666666667,0.8366786076224367,0.07261017589805621,0.848404123895112,0.02738478525531129,0.5590485692661353,850312.5,0.0,persistent-line dominated coherence
3122,psp_fld_l2_tds_wf_20250317_v00.cdf,81,2025-03-17T17:58:30.858195000,20250317,0,V3V4,SCM4,-0.2815773517264504,-0.11598083780169209,-0.12070133326532034,0.5333333333333333,0.8491191044709,0.07220673129312716,0.8549327039745233,0.02744952296720234,0.5860207927518407,803906.25,0.0,persistent-line dominated coherence
