event,counts__log_dispersion_16,counts__log_dispersion_128,counts__log_dispersion_1024,counts__width90,counts__asymmetry,counts__top10pct_fraction,counts__bin_entropy,counts__spectral_entropy,counts__spectral_peak3,counts__fano_sample,count_pair_V2__envelope_corr,count_pair_V4__envelope_corr,count_pair_V1V2__envelope_corr,count_pair_V3V4__envelope_corr,count_pair_SCM5__envelope_corr
41,0.230484542976977,0.9097549975389193,1.667169819371824,0.8978068305286008,-0.05809799836216786,0.11747921082667537,0.9946967458318435,0.9855749211794194,0.022059437735117926,0.4961810038913662,-0.03218948498505707,-0.16323777868294265,-0.0924383007103564,-0.20907934004685297,-0.004168188660114078
42,0.017063382568114318,0.29534175118721073,0.9154711671266406,0.8957507113422293,-0.036107410877541254,0.12794911618963095,0.9976007336406527,0.9937075736403196,0.00886898799634914,0.6972962196387582,0.0014990411126797505,-0.013586360359048234,0.11360450568353941,-0.00893748247457142,-0.0216229567142301
43,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.22369974797966843,0.9195744277527119,1.7478192991646035,0.8986310735414721,-0.047785458668488365,0.12137180373185902,0.9943718632905912,0.986998518544815,0.018407761088357944,0.5129785603358209,0.1890503570005082,0.1964607797491994,-0.068794854352335,0.09433682547175333,0.003553843450517666
45,0.24882833566105533,0.9487194438133404,1.7471299266671245,0.8984566594344907,-0.052988505392022205,0.12013865404125804,0.9941109821456735,0.9870488003963239,0.017750242678050247,0.5054334970561404,-0.15149228578299784,-0.013146776318479953,-0.15251467970664126,-0.03787095450473517,0.11791260703994505
46,0.2559333974137856,0.9662323375220206,1.8360832067902975,0.9066220238095243,0.15753699099664548,0.13698555166374782,0.991273017554479,0.9914937225780194,0.01145417195566722,0.6072437258941856,0.03478421230750092,-0.05442946944619878,0.08063025412389842,-0.0865778493093366,0.12259043083922355
47,-0.008240259593404284,0.18746973404445152,0.8008248549201097,0.9005523097826087,0.019764818238806818,0.1273168196778105,0.9976293514914613,0.9948397774239609,0.005622728392292009,0.7412055506936046,0.1493999310362717,0.13555096744881978,0.15395987573255512,0.1347675509793141,0.09364595977558118
48,0.014233725870751347,0.12366011871362156,0.6660515346764597,0.9004996229260955,0.01703022768908911,0.12897245762711865,0.9979655499186825,0.9922752874263108,0.013935714177174041,0.7530133579688397,0.07554838636114725,0.13613522215282142,0.029897241504203323,0.0018484507039186401,0.07191555139059365
49,0.28550249778911196,0.8522467807439101,1.6973450947907291,0.758971774193548,0.1255644839952183,0.16332378223495703,0.9727522229619959,0.9718939766306453,0.05706217793735392,0.8666699138127562,-0.05519564671268339,-0.41567258070455293,0.45558100359972686,0.15436277774958268,-0.15945330167051414
50,0.26144767917785383,0.9642257046827928,1.7461366964814424,0.8978116474454363,-0.08102156456233398,0.12211120764552563,0.9935774112986598,0.9846645876406998,0.025024840701465725,0.5197427419573586,-0.051842524195889944,-0.03600028463857048,-0.058328128780195894,-0.015515467416572698,0.13805036848859775
51,0.1786434896755627,0.8027271242579989,1.6535542139359258,0.8950748617142259,0.015605110413063646,0.14106745737583395,0.9908942664711436,0.9935349666505503,0.007915138193734923,0.7047218830585464,0.1602289732756851,0.08751330999367295,0.10593106720759801,0.13703351703533606,0.040009447181658775
52,0.24415042074910862,0.9474733856742074,1.7619542249993947,0.8956065096596446,-0.053509236380314365,0.12335813355377974,0.9932815091974351,0.988183684383515,0.017666964216500273,0.5331016124327076,0.044649953911080245,0.014354839834432124,0.05510260364544696,0.012239487443629175,0.10902611602140348
53,0.26863632577048896,0.9997562077242714,1.8232618406909846,0.8963296066532669,0.07276624391231229,0.12458379578246392,0.9920690710957956,0.9876444817003253,0.01797827942609693,0.5402523615404412,0.011261459220110633,-0.010155199386285034,0.006759938750421371,0.013442403489868096,0.03253853217763804
54,0.21368765739183845,0.8475056140811739,1.6885606391301635,0.9064093255377432,0.05278302898400082,0.1416840640222686,0.9908664391456228,0.9923452677558743,0.01028083405310861,0.6895279822981601,-0.29713727557363967,-0.08738518529230425,-0.32269966656840454,-0.284431219616033,0.06414178489057201
55,0.1114182090407639,0.5559205427705961,1.3577171630144191,0.8391796874999999,-0.5948490833283459,0.35968379446640314,0.9001062617778739,0.9921181393550387,0.0038886370489598526,0.9874074759411412,0.07364136758337012,-0.044015670476429875,0.10951080480895384,-0.004911304121301023,0.25112567928659635
